Gene,P-value
UBR2,4.971706731791272e-15
WDR46,5.071325965562286e-15
CYFIP2,5.074385431913449e-15
PASK,5.1786186787893746e-15
RNF8,5.229374059662528e-15
LARP1,5.317953813901655e-15
RPS27L,5.3464934949969e-15
CD8A,5.35975908669965e-15
CD81,5.5356360944891456e-15
RBFA,5.538164075018327e-15
DNAJA1,5.655162833889383e-15
NUDCD1,5.8526046744150325e-15
UBFD1,5.957433391060415e-15
PLCD3,5.977732906402579e-15
KPNA1,6.052805007904306e-15
TMEM216,6.093592698104562e-15
EMC6,6.10551197388721e-15
GNL1,6.118398431600617e-15
MECP2,6.319971589808621e-15
FAM89B,6.412569414385069e-15
SLC30A5,6.580840485118107e-15
CAMSAP2,6.600309373523446e-15
LPCAT2,6.613193503526606e-15
CCNYL1,6.7496393364267156e-15
PXK,6.771154048114431e-15
NCKAP1,6.8630782431490284e-15
RAB3GAP2,6.869200299604245e-15
PAQR4,6.899501783488581e-15
CETN2,6.90573632211353e-15
NMT1,6.9814241925184225e-15
RNPS1,7.045209103328095e-15
MYO1G,7.11902817203166e-15
SAMD8,7.204871843840451e-15
RHNO1,7.236586217997109e-15
TPP1,7.281861691096109e-15
GMIP,7.36343346334928e-15
PHF1,7.614304275029846e-15
IL12RB1,7.630429456973109e-15
EIF5A2,7.637854150525584e-15
TERF1,7.733540445557163e-15
NPC2,7.916038527826913e-15
ATG101,7.92356929252973e-15
C1orf167,7.925250030808025e-15
RGS19,7.933336391673718e-15
LTV1,7.94312203488614e-15
IL4R,7.991572327106755e-15
ZNF32,8.064017511326339e-15
SPRED1,8.067925774700089e-15
UBQLN4,8.33860032617325e-15
ZC3H12D,8.344191592170622e-15
NCR3,8.559201448928704e-15
THAP4,8.580166164748056e-15
ENGASE,8.622116409060438e-15
PIK3AP1,8.710855123078352e-15
SS18,8.730299849821139e-15
PIGK,9.111053048500595e-15
WDR6,9.194755212984798e-15
FAM151A,9.283989893974189e-15
RBBP4,9.401588396623187e-15
KPNA4,9.601458638655816e-15
RRP36,9.644909354916407e-15
BCL2A1,9.645729402745508e-15
PRUNE2,9.807363656076439e-15
TRAPPC6B,1.0143601294811859e-14
JAK3,1.01856935852254e-14
SRSF4,1.0301959963970343e-14
HPRT1,1.039325039918773e-14
EEF1G,1.0410224019956151e-14
ERLIN1,1.0429190266908115e-14
ZCCHC7,1.0430227631554306e-14
ATXN3,1.0722278323790208e-14
IFRD1,1.0852865130122e-14
EFHD2,1.0858209877715947e-14
THEMIS2,1.0977303990545649e-14
NUDT3,1.1074817060823509e-14
TRIP6,1.1145987160526052e-14
SLC15A1,1.117823487622273e-14
UTP18,1.1625573204889829e-14
RPF2,1.1638669218484875e-14
AMZ2,1.1884433458175566e-14
RBM4,1.2011385712684149e-14
SUMO3,1.2188932847476749e-14
SND1,1.2365536973397356e-14
BCL9L,1.2445641429495994e-14
GTF3C6,1.2889620709083629e-14
MAP3K1,1.3151532959609878e-14
SMARCC1,1.3173359561134604e-14
NT5C2,1.328884705366088e-14
N4BP1,1.3351463458909556e-14
AMPD3,1.3537099529186121e-14
MBTPS1,1.3843747461939732e-14
RIF1,1.4839008208183847e-14
SLC39A7,1.4959905563920034e-14
POLD3,1.526586664975178e-14
CEP350,1.5279890423272106e-14
TRIM56,1.568148613706768e-14
SRSF11,1.6299403099493748e-14
CNOT4,1.669163068737595e-14
C16orf87,1.6790603816685593e-14
SMC5,1.6889210369753452e-14
RCC2,1.692412948655765e-14
HS6ST1,1.6938161982826367e-14
ZDBF2,1.7047370514649694e-14
RAP2A,1.7153154022038172e-14
UBXN7,1.7219300301219782e-14
MGAT2,1.734377707560637e-14
KIAA1143,1.786291525482072e-14
WDFY1,1.7902290472186414e-14
OTUB2,1.7920259911391756e-14
RAD23B,1.8166533191361726e-14
TMX4,1.835979379080132e-14
BCL7B,1.9086251287676374e-14
DUSP22,1.9175549660140862e-14
TTPAL,1.9213421121730723e-14
CITED4,1.9484380480679903e-14
NMD3,1.9869174930188598e-14
MX1,2.008206460743465e-14
CR2,2.0360008643856643e-14
CBL,2.0378328600493308e-14
COG5,2.0410540664776053e-14
MAP2K2,2.0962157339336325e-14
KCNAB2,2.103517688197111e-14
EMC7,2.1189495253206786e-14
RPL5,2.1250159623962414e-14
REST,2.156469486538705e-14
SCAMP1,2.1608223347651506e-14
SUCO,2.2212417521003053e-14
PRPF40A,2.2491714967164565e-14
PLCXD1,2.2566169154756843e-14
MBNL2,2.2933723923008048e-14
VCPKMT,2.299464216868065e-14
TYW3,2.3995598366698113e-14
GNA14,2.4364653345776782e-14
PCBP2,2.447385005899956e-14
CEP57,2.483419300567323e-14
DPCD,2.5072193620311237e-14
TPO,2.5098481788451436e-14
EXOC5,2.5920614344588023e-14
PPP3R1,2.6041727957100024e-14
FHIT,2.634675682988713e-14
ASH1L,2.6475067096655453e-14
TSR1,2.6656296358190077e-14
SH3BP2,2.675507753175519e-14
RAD21,2.6834225118031572e-14
MDFI,2.710118534286922e-14
BCL10,2.7737539519951957e-14
EIF2B2,2.8525590801027833e-14
RNF183,2.866372431742038e-14
CHD9,2.970565153070727e-14
IQGAP2,2.987305866420747e-14
EPB41L1,2.990786651551503e-14
GNE,3.0168511695843945e-14
AKAP9,3.065282302011057e-14
HNRNPD,3.0676311879555477e-14
FMNL2,3.084956979053694e-14
IRF4,3.10540089940614e-14
SEH1L,3.108263010860948e-14
RPL17,3.139201295284757e-14
RASAL3,3.1800173274661016e-14
EIF2S2,3.181303595988644e-14
ARID1B,3.23299295969126e-14
CIAPIN1,3.237270278048254e-14
NOLC1,3.2559809782128405e-14
HAT1,3.286842662834701e-14
MAP3K4,3.331532516962413e-14
NCOR2,3.388659583971553e-14
PRKG2,3.4173219474000305e-14
ADAM15,3.422659224898847e-14
ACTR2,3.494460437448375e-14
TMEM218,3.498688515157738e-14
TAX1BP3,3.605671045045475e-14
TMEM171,3.649580555068806e-14
PCMTD1,3.715170416121851e-14
PPP2R2A,3.784124077997355e-14
SIRT2,3.8142989267929425e-14
PRDM1,3.928197522587319e-14
CLPTM1L,3.9914799544064073e-14
PPM1G,4.1214258593094544e-14
TMEM9,4.1561890980901894e-14
PGK1,4.1653497680075e-14
HSPA8,4.214953535835157e-14
SMU1,4.241725743798707e-14
TMED5,4.263216800723802e-14
POF1B,4.298700906866207e-14
ACY3,4.4241497902400246e-14
MRS2,4.447260157607596e-14
BAG5,4.467356814852013e-14
POLK,4.468351751823302e-14
MAN1A2,4.553934996270616e-14
LGALS8,4.576503837362041e-14
FGGY,4.6045116281535766e-14
VAMP3,4.6101652120720406e-14
DYNC1LI1,4.6125542298086923e-14
TBCC,4.624221393595375e-14
MED17,4.631221109891951e-14
TMEM62,4.678583936824175e-14
PTPN11,4.6805379042030664e-14
RBM15B,4.6846284804460987e-14
RPL28,4.72052310959478e-14
CHKB,4.724318130012775e-14
CSNK1G3,4.848705533508262e-14
FBXW7,5.1473864390587443e-14
CLDN2,5.333099621061136e-14
HPCAL1,5.382053809818627e-14
GNPAT,5.779899276894046e-14
NFKBIE,5.815179035298142e-14
ITK,5.824690536183381e-14
GALE,5.912081525272056e-14
AQP3,5.933608993714495e-14
LRWD1,5.96621478165591e-14
CASP2,6.212074069954088e-14
IRAK3,6.426751580201644e-14
YIPF6,6.452997931131686e-14
DPH5,6.511073532590484e-14
FHL2,6.587809538483125e-14
NEU1,6.660472260282491e-14
BUB3,6.707825678716488e-14
MECOM,6.71286029538802e-14
RAB18,6.779198282777664e-14
MRTO4,6.806230035015342e-14
ATXN7,6.870287207657858e-14
ANGPTL4,6.955986389642141e-14
LNPEP,7.020707939095314e-14
ADSL,7.021945165212177e-14
LYRM1,7.173219161746727e-14
RNF4,7.192585081186721e-14
ARCN1,7.322608816804004e-14
SHOC2,7.350962352213399e-14
C6orf136,7.520314232703996e-14
FAM3D,7.609921533633388e-14
DNAJC21,7.68224604611023e-14
GTPBP1,7.683301447127474e-14
VHL,7.73970805219224e-14
MAPRE2,7.750516225927292e-14
BNIP2,7.811907820206787e-14
SBNO1,7.89676829485264e-14
FBXO11,7.901836345505275e-14
MRPL36,7.919282792961208e-14
DCP1A,7.958241771914922e-14
GDPD2,8.025503736806478e-14
SCAMP3,8.09763335413189e-14
NR2C1,8.185271490510884e-14
EMC4,8.19446743982863e-14
PHIP,8.264318656961745e-14
GTPBP4,8.322220821364782e-14
CCL15,8.348739110679391e-14
DOT1L,8.488278922184585e-14
RAB21,8.55861843314493e-14
TPR,8.608299411241966e-14
ITPR1,8.71095170585123e-14
SLC2A3,8.726840900289211e-14
ABHD14A,8.752908057720787e-14
AIDA,8.755015184724503e-14
LRP10,8.787602500925392e-14
MAPKAPK2,8.827329424527386e-14
PYHIN1,8.82836528297471e-14
YTHDF3,8.882918747137365e-14
SPTLC2,9.046996236079492e-14
LRRC8A,9.063492726591151e-14
HLA-DOB,9.064500821562627e-14
YAP1,9.303852030290966e-14
SEC23IP,9.348708108791562e-14
SEC62,9.379812039570843e-14
DSG2,9.589435217847683e-14
P2RY8,9.66904434864639e-14
WDR33,9.97647121806579e-14
CAP1,1.00889250771063e-13
USP48,1.0185741009283554e-13
YTHDC2,1.0216378122513913e-13
SNRNP200,1.0298351014985856e-13
NOTCH2,1.0462152801550008e-13
PNMA1,1.0527188611117152e-13
TMUB2,1.0636809309167696e-13
AMMECR1L,1.0695387263115768e-13
PHKG2,1.0704806291895143e-13
TSPAN17,1.0723071243004418e-13
CD46,1.0771450540237593e-13
FKBP5,1.1021933809388033e-13
ORMDL3,1.1110453643186812e-13
HBS1L,1.112610078660119e-13
ANO6,1.1461704018308704e-13
COX19,1.1791693434731006e-13
NCOR1,1.1838437811266148e-13
YES1,1.1865487027019198e-13
LITAF,1.1873922134788414e-13
UNC45A,1.20292684135175e-13
HMGXB4,1.206531122164936e-13
CNNM2,1.2094887458541112e-13
TNFSF12,1.2139998925484934e-13
TMPRSS2,1.217866471609653e-13
HBP1,1.2362204613361764e-13
CHST11,1.2390312383948549e-13
WAS,1.2976548811850783e-13
ERAP1,1.3077023705642315e-13
SEMA7A,1.3262096408581784e-13
FCHSD2,1.336104140894448e-13
KLRB1,1.3417316232200512e-13
FEZ1,1.3581914127467967e-13
YTHDF1,1.369728571005938e-13
BRAF,1.3874436638016594e-13
LRRC42,1.3944065403290134e-13
LRIF1,1.43242547803397e-13
ARIH2,1.4492057440049694e-13
COX7A2L,1.457229284504218e-13
PPP1R14A,1.4577729436145696e-13
AKR1B1,1.4713354295554172e-13
ENTPD6,1.4819915116281056e-13
DPYD,1.4869473045651922e-13
GPR89A,1.489577986573672e-13
ZDHHC9,1.4953329235645005e-13
SMARCAD1,1.500393425067739e-13
LZTFL1,1.5138291204821643e-13
MAP4K1,1.53021073958686e-13
ZNF575,1.5374859673064777e-13
SLITRK6,1.5661399651257593e-13
YKT6,1.5680140127674616e-13
RAPGEF1,1.5749425483726478e-13
MRPS36,1.5779017880715231e-13
BTBD1,1.594891300717798e-13
HECA,1.5978003976186813e-13
APH1B,1.6001748761243386e-13
CD14,1.6552552902740992e-13
KIF20B,1.6579489093364499e-13
PHC2,1.671096357063591e-13
ID4,1.68129512467614e-13
RICTOR,1.6905751656389583e-13
EWSR1,1.6919435952630388e-13
NUDT4,1.703115187427322e-13
SART3,1.7111909037684946e-13
TXNL1,1.714121124885691e-13
SLC33A1,1.7326122652670047e-13
COPS8,1.739981504461847e-13
BACH2,1.7871452183946899e-13
CHPF2,1.7879890524370634e-13
ARL6IP5,1.804778048097039e-13
MOB4,1.8069344774255858e-13
NDUFB11,1.8132683837598751e-13
TMEM139,1.8350865094444994e-13
ZNHIT6,1.8391001985190366e-13
RNASET2,1.8537553458367023e-13
LAMC1,1.8636010090921943e-13
SMURF2,1.8679404848460494e-13
FKBP14,1.896952935989721e-13
HSPA4,1.9058464922209706e-13
SLC10A7,1.9475531788159545e-13
TPD52,1.9767753342501582e-13
NMB,1.9816517498516156e-13
EPN2,1.9941708058604395e-13
PILRB,2.0161787162915084e-13
SYNE4,2.0268041328402064e-13
PIN4,2.0617308561322648e-13
HAUS2,2.0789668785551945e-13
LARP4,2.081721465774216e-13
PHGDH,2.0915046246049575e-13
RPS5,2.0964459996274018e-13
AZI2,2.097347897354981e-13
CGGBP1,2.1369038760684937e-13
FOXN2,2.1490865249771292e-13
SMURF1,2.152776602536347e-13
SLC41A3,2.1562981794386423e-13
UBQLN2,2.1790418923769743e-13
FAS,2.1857995013499592e-13
TBC1D16,2.1945179262270837e-13
UBE2G2,2.2059758746494442e-13
CARD10,2.2118631712066004e-13
PRKDC,2.2522269881870674e-13
PPIG,2.2537025791046474e-13
NUP93,2.3212802280716556e-13
SCPEP1,2.3294269351959204e-13
FAM110A,2.497907053866372e-13
IKBKE,2.4984723484216556e-13
MORC3,2.538086509301889e-13
CNOT8,2.5429289382838185e-13
PPIB,2.5897407073194124e-13
SPATC1L,2.5946773501477125e-13
VPS53,2.598088644083898e-13
LYSMD3,2.609375128887216e-13
MEX3C,2.638739756751844e-13
ZNF655,2.651191714617137e-13
GCLM,2.656358798044706e-13
MYLK,2.6728287488407046e-13
EPHA4,2.6805721136636425e-13
MRPL32,2.7234174550094827e-13
PBRM1,2.7315284841297274e-13
TSPAN12,2.734468686631418e-13
UBIAD1,2.741277860690828e-13
RPS6KC1,2.777052092401858e-13
RANGRF,2.7813171699048806e-13
DNAJC24,2.804768274066313e-13
CRYAB,2.8278281369514875e-13
ZNF430,2.8547559549204166e-13
ESCO1,2.8630559123268235e-13
COL16A1,2.901640062378858e-13
SH3BP1,2.911223788823264e-13
ELK1,2.9855812532953607e-13
HADHA,3.033513049567011e-13
CROT,3.0557619373490625e-13
KCTD11,3.072596028658781e-13
FUBP1,3.1136270876809863e-13
CXCL11,3.1776613093955484e-13
BTBD7,3.2207418561678657e-13
HOXD9,3.231338617588749e-13
NBPF1,3.3609605705145077e-13
XPNPEP3,3.3818051866726747e-13
TTF1,3.4014634322283006e-13
FAIM,3.452634080196496e-13
ACP6,3.463938462468444e-13
GRAP2,3.5107258951302224e-13
ERRFI1,3.5322013077234077e-13
KDM6B,3.5391082570800675e-13
ZDHHC4,3.540321679257607e-13
SRSF6,3.5435986221001633e-13
TMEM245,3.603866092207461e-13
KXD1,3.686296111477673e-13
ALS2CL,3.781011860920778e-13
MOSPD3,3.793086424739126e-13
PCYOX1,3.8592128904487674e-13
WDR55,3.8762415383469324e-13
GLB1,3.9234883843347466e-13
EIF2D,3.9458067836787173e-13
CLSTN3,4.019930027267301e-13
EAF1,4.1958550785548125e-13
MMP14,4.2151023497212244e-13
DONSON,4.2266259158807877e-13
ETFA,4.272723220209136e-13
ALPI,4.2774746712239186e-13
PRRC2A,4.314370052656182e-13
ZNF331,4.3168364554533263e-13
MAP2K7,4.348701602841694e-13
ARHGAP5,4.3501541819021025e-13
GABRP,4.3740246297975137e-13
MTCL1,4.3740246297975137e-13
LPAR2,4.382569685274226e-13
CHAC2,4.3957905113178875e-13
COMMD3,4.421564922943096e-13
CTDNEP1,4.5269689073773835e-13
LIMCH1,4.591366413361205e-13
TCEAL8,4.607755917130221e-13
BTG2,4.638608781219111e-13
KLF7,4.657477812975273e-13
MRPS14,4.685252546505473e-13
SNRNP40,4.732520102886596e-13
ABL2,4.771060603364442e-13
RAB5B,4.830607264576374e-13
MAF1,4.853906480935544e-13
MCAT,4.874362543734739e-13
LSM6,4.890994930042426e-13
CXXC5,4.948715020179658e-13
FUT4,5.061547140371574e-13
CUL4A,5.065523063973093e-13
GOLGA2,5.161581261793205e-13
BCKDK,5.162369933859839e-13
PIK3C2A,5.235062958682656e-13
HAUS1,5.259075643145473e-13
ATF6,5.266276301906084e-13
TRHDE,5.352099566500159e-13
BOK,5.400131101978163e-13
NEIL2,5.416450664773168e-13
LAYN,5.564940321603658e-13
SNRK,5.567572993959099e-13
IL13RA1,5.742575860346815e-13
ARL14EP,5.833139133377876e-13
FAM83A,5.906338575050086e-13
PPP1CB,5.954015070024769e-13
FOCAD,5.993439105652151e-13
NME7,5.995400840117812e-13
GRSF1,6.003901660519902e-13
OSCP1,6.121553617902394e-13
PLA2G12B,6.132781308342895e-13
BAMBI,6.255293450146715e-13
SUMF1,6.267124609868961e-13
BAZ1B,6.267632406173845e-13
HYPK,6.277866244166042e-13
FZD3,6.283649556140227e-13
TTC39C,6.310437531325583e-13
WDR18,6.314608765969072e-13
RPF1,6.415562025607726e-13
C1orf198,6.43715364012755e-13
TAF7,6.447702209763224e-13
PPP1R13L,6.468292491307886e-13
PDS5B,6.477538394321472e-13
MRPL45,6.507765893727329e-13
ISCU,6.542878665740225e-13
GOLGA7,6.636017375676794e-13
RAF1,6.654873148802643e-13
PDCD1,6.671712478680788e-13
TIMP2,6.717346187472363e-13
AGO2,6.786422675139618e-13
C5orf24,6.84832286160173e-13
NACA,6.928575559769696e-13
ATAD3B,7.000938583860943e-13
SMIM12,7.087833073159234e-13
PSMC6,7.212014890955332e-13
EHMT1,7.372067520973996e-13
AP1G1,7.427446429452232e-13
SSB,7.459870578929301e-13
XBP1,7.465268181379824e-13
RASA1,7.483196931572209e-13
CDC16,7.516695485502427e-13
SAP30,7.569372359158007e-13
PET100,7.603376982268062e-13
SLC27A4,7.614603694096498e-13
FBXO22,7.691335277405171e-13
GPATCH2L,7.71612158986609e-13
HBB,7.746589669308277e-13
RRS1,7.778864014263396e-13
UBE2Q1,7.78778261057104e-13
HYAL1,7.809724354108436e-13
TPI1,7.891120671398978e-13
SF3B3,7.900038570299467e-13
GPN3,7.988338232994577e-13
GNB1,8.137203121588575e-13
KCMF1,8.155552577780841e-13
PCSK7,8.17766880578497e-13
CRTAP,8.417542421237212e-13
HR,8.433200330412164e-13
CUL5,8.457786836785643e-13
JTB,8.961584404636604e-13
PCM1,9.045313864990053e-13
FOXP1,9.1124117859091e-13
RNF166,9.44746467487257e-13
STMN3,9.59925110533491e-13
FAM210A,9.744697237005667e-13
FADS1,9.793188883858267e-13
SECISBP2,9.884441491151764e-13
CDC42BPB,9.972473371277737e-13
PTAR1,1.003119093875556e-12
TBL1XR1,1.0033284416361374e-12
ZBTB18,1.0123283801626554e-12
CTPS1,1.017756960495762e-12
ZEB2,1.0613372041521553e-12
MAPK3,1.0734125476589402e-12
NCKAP5,1.0780856931059822e-12
EIF1AD,1.0800197008109378e-12
FAM177B,1.0805392607307002e-12
CARM1,1.08836706192215e-12
VMA21,1.0898351567786267e-12
TBC1D23,1.095842519508659e-12
FNTA,1.101169726106934e-12
VAPB,1.1211271342616528e-12
DENND4B,1.1235802023221705e-12
SKA2,1.1239881672429328e-12
PRSS36,1.1285470191749903e-12
TRPM4,1.1414251598514708e-12
CSRP2,1.1482824176876594e-12
RRAGA,1.150443876635691e-12
TMX2,1.1656629649905029e-12
PSMD6,1.201892678296143e-12
STK40,1.2381786895810454e-12
NAA30,1.2479281991603635e-12
STX5,1.2612643252749464e-12
TSPAN15,1.2941658389561692e-12
LIF,1.3067658889010666e-12
CSK,1.3135697216084095e-12
LMNB1,1.3136114501162434e-12
TUG1,1.317005056280172e-12
RPN1,1.3218004324674945e-12
KLK1,1.3454928451973728e-12
CDK9,1.3603309533118049e-12
POLR3H,1.3700226629207005e-12
DNM2,1.37933403340121e-12
TOMM22,1.4356789830286336e-12
PKIA,1.4491005251009217e-12
BDH1,1.4514749327693362e-12
HSCB,1.463835204330366e-12
PDE4D,1.4665690774580126e-12
HBEGF,1.467428405160546e-12
CD84,1.4940876047505667e-12
AKR1A1,1.4983601629753695e-12
BCL11B,1.511648170544461e-12
POLD2,1.5209847589486476e-12
RAP2C,1.5324498181999779e-12
PRSS23,1.5617436035941462e-12
TOMM7,1.564837491113072e-12
ATXN1,1.5921158020865244e-12
ZNF562,1.610886413693459e-12
CIRBP,1.6179423511272152e-12
STYX,1.6183223830191665e-12
ABCG1,1.633184852719729e-12
FAM76A,1.651474739435328e-12
SLAIN2,1.6750057698401787e-12
MRPS6,1.6791553091831845e-12
ZSWIM7,1.6969475642307954e-12
PODXL,1.6976963134747051e-12
ATXN2L,1.7412574333551308e-12
RSPRY1,1.7527344486352232e-12
MED23,1.7718209452306125e-12
CPSF2,1.7822723597637152e-12
IDH3G,1.7862232358399508e-12
EIF4G1,1.8019488115338227e-12
PPP2R5A,1.817248777712012e-12
SLC37A3,1.8234565721331156e-12
DUSP12,1.8243049549327517e-12
SKAP1,1.8284151493748413e-12
WDR11,1.854501489765207e-12
SRRD,1.8608788379607604e-12
CKLF,1.925687295567009e-12
CD3E,1.928465438305782e-12
TGFBR1,1.9502753680585e-12
SLC16A14,1.9920476868330724e-12
CLOCK,1.9934657417456765e-12
MARK4,2.0114914955086443e-12
TMEM134,2.019348717824571e-12
FUCA2,2.023681944691063e-12
RNF152,2.0322620298491864e-12
UBE2R2,2.037421312492938e-12
TMEM236,2.132299835379164e-12
RALGAPA1,2.1438809800134954e-12
FNBP4,2.1604051158000113e-12
DPM1,2.1780457737093086e-12
EIF2A,2.18191366677358e-12
ROR2,2.1837084801911195e-12
RBFOX2,2.1922868188752513e-12
PRKAR2B,2.1984825917652955e-12
RBBP7,2.200958803593568e-12
ADD1,2.2715961468267744e-12
RIC8A,2.290960798818626e-12
TMEM98,2.324450304473183e-12
SPTY2D1,2.326441653240449e-12
ATP2A2,2.3267794096623383e-12
SEC23B,2.3620242123251657e-12
SAP30BP,2.3800258119774193e-12
DPH2,2.386869575020488e-12
TMEM37,2.407325281092402e-12
PIGH,2.4257929455609332e-12
NUTF2,2.4817783022228914e-12
RAB3D,2.482551101620997e-12
DDX31,2.4944625382543274e-12
SMAD5,2.5133797234155216e-12
EIF5AL1,2.5319898064844476e-12
SREK1,2.5720795560139886e-12
TMEM41B,2.625451587890499e-12
LRBA,2.63843276886394e-12
SLC39A3,2.6500519794114967e-12
TMEM33,2.7110696511331856e-12
TVP23B,2.7149460166845633e-12
CSGALNACT2,2.7372405452205485e-12
BTAF1,2.749559479949219e-12
TMEM254,2.803276335389747e-12
HDAC2,2.851420742358883e-12
SF3B4,2.8599312726923626e-12
PHF21A,2.867030211020307e-12
ATP11C,2.9317101313993446e-12
USP33,2.9549986522490837e-12
TRAPPC4,2.956324238410432e-12
FBXW2,2.9649269796760837e-12
NBPF14,3.0695687224481093e-12
TUBA1B,3.1603812181049785e-12
CSNK2A2,3.2041283692968787e-12
RBM48,3.2395189234680935e-12
DNAJB14,3.2778810045191695e-12
IMPA2,3.280735855978846e-12
KHSRP,3.2900238740720382e-12
MAN2A1,3.310559317320204e-12
IL22RA1,3.3221766526967958e-12
EBNA1BP2,3.326358268336955e-12
CHMP4A,3.336352644703166e-12
GNPDA1,3.3557693124849374e-12
KLK12,3.3893181756622838e-12
SGK3,3.402582482918952e-12
BCR,3.4528498432606466e-12
POLB,3.5308567530292193e-12
SH2B2,3.561686659507398e-12
TOR1A,3.577125255376607e-12
DDX19A,3.592228597732995e-12
SUPT16H,3.6352851431153127e-12
CPSF4,3.640089811075492e-12
TTC7A,3.6670717650531174e-12
ZNHIT3,3.67040227438686e-12
B3GAT2,3.69011580880448e-12
RAB28,3.827703407348984e-12
RAPGEF3,3.8372283061688965e-12
TRIP12,3.914926399342104e-12
PTPN18,3.927373083283803e-12
UBR1,3.942922011142819e-12
FBXO25,3.947023356000577e-12
TM9SF1,4.051332448917576e-12
ABI2,4.0546182239714495e-12
GPR132,4.117729113352821e-12
NKIRAS2,4.138488427282237e-12
SNX20,4.155497744998987e-12
GEM,4.1946152816737916e-12
MTF2,4.341637672463263e-12
CLK1,4.35091207230716e-12
USP3,4.376557732413618e-12
FLT3LG,4.523434250195937e-12
COBLL1,4.52952255672529e-12
NGLY1,4.5656238942853354e-12
PTPN22,4.567661525499032e-12
RSBN1L,4.595815264566256e-12
GNS,4.626705521731524e-12
CCM2,4.652875588592399e-12
TRIM8,4.653801206486326e-12
TIPRL,4.656794113480596e-12
CCNH,4.657797839308451e-12
SLC50A1,4.699265878566739e-12
NUMB,4.7304379416498026e-12
CHST2,4.7432032413115845e-12
SERINC5,4.758249334581442e-12
XPO7,4.781111037986934e-12
TNFRSF13B,4.804745028542827e-12
MED15,4.822683587708147e-12
SEMA4C,4.826549910785515e-12
POLR3E,4.843039297434991e-12
RIOK1,4.853595021063933e-12
CCDC137,4.8855918285877976e-12
THOC7,4.894408927923684e-12
TMEM70,5.033969088445661e-12
PHAX,5.038919953268822e-12
ATIC,5.0433622792970766e-12
ZFC3H1,5.0449330893798004e-12
STMN1,5.311322132257572e-12
AVEN,5.325890126915214e-12
NPAT,5.361455498233189e-12
DUSP11,5.459126100349751e-12
SLC38A4,5.535023318816462e-12
ERCC1,5.536038807361578e-12
COPS7A,5.556761365143208e-12
SLC12A8,5.636243746757369e-12
MSTO1,5.644288874459445e-12
CNTN4,5.645157420121793e-12
THADA,5.7967151696998645e-12
LY75,5.797808672594205e-12
PNOC,5.8244971704560486e-12
TNFAIP2,5.828732424658347e-12
SAE1,5.835918884416833e-12
SIPA1,5.891581261835355e-12
CSF2,5.895867868260406e-12
FAM221A,5.911829682806315e-12
SUPT5H,5.94254602473285e-12
COMMD2,5.947904944720553e-12
ATP6V1A,5.949000042340211e-12
RRP7A,6.023069593109495e-12
CDK12,6.026032747160532e-12
ZFYVE21,6.066360914910658e-12
RMDN2,6.112210723042447e-12
PDGFRL,6.169302753376186e-12
TNRC18,6.208319451544579e-12
ARHGAP11B,6.222122022366246e-12
FAM83H,6.241091231923977e-12
CHRNA5,6.281089551971666e-12
NME1,6.284102048617294e-12
KIF22,6.286281959751655e-12
PLCD1,6.3708778997031755e-12
GABARAP,6.414462541741986e-12
PITHD1,6.4238005943002366e-12
R3HDM1,6.446608512556458e-12
B4GALT4,6.579045187428664e-12
CPSF7,6.609392097465845e-12
FRMD1,6.6449948614597775e-12
MOGS,6.656671319533927e-12
AASDHPPT,6.6594214373247746e-12
NVL,6.720815867108656e-12
CTBP2,6.809208739792106e-12
TRAM2,6.870512254869269e-12
SF3A3,6.921156441758295e-12
MOCS1,7.017259240286489e-12
TMED8,7.0202121589628574e-12
KLHL21,7.061929634640053e-12
GNLY,7.074179769530498e-12
SLC18B1,7.274186826405392e-12
UBP1,7.342346573775486e-12
APEX1,7.482148289154861e-12
SERGEF,7.493794554861267e-12
FAT1,7.525631396504791e-12
EIF3J,7.542170648516516e-12
UBE2E3,7.580153572730283e-12
PRKAA2,7.586867106134632e-12
PBX2,7.751613663529216e-12
BTG3,7.859082199484e-12
CANX,7.902350611825858e-12
SLC28A3,7.903959092330075e-12
TCF20,7.939054203944993e-12
CCDC149,7.950143162567823e-12
UBE2O,8.040438335076873e-12
DHX29,8.17646396702932e-12
SMNDC1,8.213903819421176e-12
ZNF791,8.293579194368559e-12
ASXL2,8.373521437192669e-12
UBE2D2,8.381973378378389e-12
FAM91A1,8.39576647102414e-12
CCZ1,8.52685449509921e-12
ELL,8.533115440942437e-12
HDHD3,8.67353602832721e-12
SNAP23,8.680278253362714e-12
SPRYD3,8.798459325969366e-12
ZMPSTE24,8.807057589139476e-12
TMEM14A,8.84499809017303e-12
METTL5,8.8866863593985e-12
RELB,8.972438683233745e-12
ICE1,9.00690162860751e-12
KDM4B,9.017211271566336e-12
ENPP4,9.047887899124067e-12
MCM3AP,9.049745158177825e-12
ACSL1,9.085267746463239e-12
GPT2,9.256517106439741e-12
JMJD8,9.294815886866883e-12
TTC9,9.295149878119932e-12
ZCRB1,9.419765028676975e-12
TCN1,9.422607413061942e-12
MXRA5,9.422607413061942e-12
RUNX2,9.512690929997423e-12
HYOU1,9.659735226546513e-12
EPS15,9.668375287919058e-12
KIF13A,9.707777877060166e-12
RRP1,9.710109219208536e-12
ULK4,9.762195123418176e-12
GPRIN3,1.0145011032574727e-11
ATR,1.0145587860930999e-11
