gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
OSER1,10,-0.42570767100755486,0.16042948089801587,-0.7401494535676659,-0.11126588844744378,0.007964993684273234,0.15830634681492384,0.6859634172136199,down,2,8,0.8,0.109375,0.022608056723875655
SSUH2,10,-0.9437182219148468,0.3557316261593254,-1.6409522091871245,-0.24648423464256897,0.007980497792324877,1.1422051074434656,0.9300262410691366,down,2,8,0.8,0.109375,0.022646917567882285
RABIF,10,-0.4542520735563059,0.17125462406226333,-0.789911136718342,-0.11859301039426978,0.007989925667552156,0.19187550145480517,0.6963183094698735,down,1,9,0.9,0.021484375,0.02267109644492508
ABI1,10,-0.34201972278660453,0.12895241736331559,-0.5947664608187031,-0.08927298475450601,0.007994689558261974,0.07643507186993655,0.5168642932738567,down,2,8,0.8,0.109375,0.02267946171416561
TTC39C,10,0.349700734257005,0.13187208394550662,0.09123144972381203,0.6081700187901979,0.008005974048516516,0.08374096647624465,0.5154454600447921,up,10,0,1.0,0.001953125,0.02270631672411343
KLHL9,10,-0.5907992546734392,0.22279830991450583,-1.0274839421058706,-0.15411456724100775,0.0080082368503477,0.3838994007713429,0.8022426971967349,down,2,8,0.8,0.109375,0.022710156062951063
TMEM25,10,-0.6255835887482968,0.23597499594431495,-1.088094580799154,-0.1630725966974395,0.008023987162548832,0.44565419249288746,0.8366103841163843,down,2,8,0.8,0.109375,0.02274965648707665
LOC102724197,6,-0.8583607085261092,0.32379503726706543,-1.4929989815695575,-0.22372243548266102,0.008026847194024907,0.4673027988762305,0.7720340321444239,down,1,5,0.8333333333333334,0.21875,0.02275518267747801
DIAPH3,10,0.6621121341443945,0.24978691717860618,0.17252977647432638,1.1516944918144627,0.00803232949687829,0.5075442834680006,0.8695939444136396,up,8,2,0.8,0.109375,0.02276814060609515
PI15,10,0.46274473973717867,0.17457810054388512,0.12057166267116387,0.8049178168031934,0.008033800200270915,0.20389121025458992,0.7724001791349365,up,9,1,0.9,0.021484375,0.022769725754818216
ARHGAP17,10,-0.5142986146468509,0.19404530769271341,-0.8946274177245692,-0.13396981156913262,0.008039538138510124,0.2720335357415091,0.7960272241943753,down,1,9,0.9,0.021484375,0.022783403543746045
IFTAP,10,-0.2292526717357592,0.08650085752736535,-0.39879435248939527,-0.059710990982123124,0.00804218421102433,0.003821262684662476,0.19421705775139372,down,2,8,0.8,0.109375,0.022787939498646926
UPK3A,9,0.3880514565558989,0.1464200958066965,0.10106806877477381,0.675034844337024,0.008042963154380127,0.09075954720770248,0.5166452308181361,up,8,1,0.8888888888888888,0.0390625,0.022787939498646926
FITM1,10,-0.36667336332907385,0.1383833319365887,-0.6379046939247877,-0.09544203273336,0.00805649118435343,0.09933949781369646,0.5784347538005139,down,1,9,0.9,0.021484375,0.02282367955050273
CEP126,9,-0.6249827782050902,0.23608933310726016,-1.0877178710953201,-0.16224768531486028,0.00811541232408354,0.3759121185861092,0.793123425762394,down,1,8,0.8888888888888888,0.0390625,0.02297496773208646
ZNF566,9,-0.3409863661843909,0.12885585482625006,-0.593543841643841,-0.08842889072494076,0.008138672721271055,0.05296330542840985,0.32325525097221386,down,1,8,0.8888888888888888,0.0390625,0.023038207733719233
ECE1,10,-0.21975773776970203,0.0830520640697882,-0.38253978334648686,-0.05697569219291718,0.00814440871952872,5.9608609865491405e-06,0.0,down,1,9,0.9,0.021484375,0.023049221051608355
CLIC3,10,0.4055388964895332,0.15331443622757437,0.10504260148348743,0.7060351914955789,0.008165594612130712,0.1385136796174831,0.6661150717758921,up,8,2,0.8,0.109375,0.02310394370887273
ERAP2,10,0.38915577286655373,0.14713715705150845,0.10076694504559719,0.6775446006875103,0.008172703368725309,0.12174142167242397,0.6456252204407009,up,9,1,0.9,0.021484375,0.02312143860182638
RPS10,10,-0.3090332039359313,0.1168539779353501,-0.5380670006892175,-0.07999940718264512,0.00817851081971724,0.0510312202544872,0.389811720141265,down,2,8,0.8,0.109375,0.023135248418905713
