gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
DENND4C,10,6.694988029295529e-06,6.69498802929553e-05,0.8876137580649452,1.0,1.7412513655126775e-07,1.7412513655126775e-06,0.002588970525693988,1.0,0.00011040152376109695
LOC101928274,6,1.1441292600294306e-05,6.864775560176583e-05,0.9778611719218914,1.0,8.955645429917676e-07,5.3733872579506055e-06,0.0026484648842005558,1.0,0.0002490400502613434
NCR3LG1,7,9.814346017041296e-06,6.870042211928907e-05,0.9881520121518553,1.0,2.1690361185567016e-07,1.518325282989691e-06,0.0026484648842005558,1.0,0.00010196044057625127
KLHL8,10,6.99047858318039e-06,6.99047858318039e-05,0.9736498713684816,1.0,3.9025178666944105e-08,3.9025178666944107e-07,0.0026907418410851975,1.0,4.062033284495545e-05
GNB5,10,7.117283510127089e-06,7.117283510127089e-05,8.447727608542004e-09,8.447727608542005e-08,0.9249568452310075,1.0,0.00273533629794592,6.099210502571902e-06,1.0
AZGP1,10,7.155401932628015e-06,7.155401932628015e-05,1.879599665704198e-08,1.8795996657041979e-07,0.9459641732973111,1.0,0.002745761838386796,1.1369074878681977e-05,1.0
SEMA5A,10,7.2574534516390645e-06,7.257453451639065e-05,0.9697060715502102,1.0,7.209149403775551e-07,7.209149403775552e-06,0.00277698254753159,1.0,0.0003068002747116134
MT1G,10,7.258995250542926e-06,7.258995250542926e-05,0.9357283202096734,1.0,7.618264514945601e-08,7.618264514945601e-07,0.00277698254753159,1.0,6.239733306487084e-05
SLC38A5,10,7.32020232581763e-06,7.32020232581763e-05,1.1782495376377094e-07,1.1782495376377095e-06,0.9392066184122614,1.0,0.0027961158150038258,5.0057570917904124e-05,1.0
P2RY1,10,7.389122323337432e-06,7.389122323337432e-05,0.9449985340925344,1.0,2.650669539084726e-07,2.6506695390847258e-06,0.0028154667303238916,1.0,0.00014813506880509067
PPFIA3,9,8.214892985746825e-06,7.393403687172143e-05,0.9327251063233439,1.0,7.446013611170015e-08,6.701412250053014e-07,0.0028154667303238916,1.0,5.772688945468081e-05
KIAA1191,10,7.454702809474822e-06,7.454702809474822e-05,0.9365948957366511,1.0,1.3475378069638398e-08,1.3475378069638397e-07,0.002834489054543235,1.0,1.8598255224178828e-05
GIPC2,10,7.4692197121112535e-06,7.469219712111253e-05,0.9100642441608338,1.0,6.082132765880111e-08,6.082132765880112e-07,0.002835692669122359,1.0,5.445797800159536e-05
PSKH1,10,7.5599296376442965e-06,7.559929637644297e-05,0.9857184513334062,1.0,9.889539426526037e-07,9.889539426526037e-06,0.0028657754518663456,1.0,0.0003866206328858324
SNX30,8,9.557453988539426e-06,7.645963190831541e-05,0.9925030803323619,1.0,4.898537214560032e-07,3.918829771648025e-06,0.002893997067729738,1.0,0.00019739181504242975
GIMAP2,10,7.65828039820579e-06,7.658280398205791e-05,1.4000523799256177e-08,1.4000523799256176e-07,0.8439768690651328,1.0,0.002894018417932802,9.037392378015982e-06,1.0
SPIRE2,10,7.669189354595553e-06,7.669189354595553e-05,0.7876517350232894,1.0,4.994211370685219e-08,4.994211370685218e-07,0.002894018417932802,1.0,4.817003639038125e-05
MMUT,10,7.725557683275182e-06,7.725557683275182e-05,0.8313602827706567,1.0,1.1546903132165684e-07,1.1546903132165684e-06,0.0029108922546892506,1.0,8.148395117079971e-05
VPS51,10,7.773419661893098e-06,7.773419661893097e-05,0.960710599499675,1.0,3.266023202534342e-08,3.266023202534342e-07,0.0029245150086408354,1.0,3.5292087341528385e-05
