library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,TAAR9,1,3,0.3333333333333333,0.0710019833140283,0.9022977722210569,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPR25,1,3,0.3333333333333333,0.11473885041243896,0.7621719368040466,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNB4,1,3,0.3333333333333333,0.21475128061907106,0.5884348884120133,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADCYAP1,1,3,0.3333333333333333,0.1579206980120836,0.6817720099835941,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PTGER2,1,3,0.3333333333333333,0.047320856309578906,0.9150730560745767,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPR32,1,3,0.3333333333333333,-0.12555675537864905,0.8377374315253756,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PRKCA,1,3,0.3333333333333333,0.1819269880370969,0.6496334447793954,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PRKACB,1,3,0.3333333333333333,-0.1677724799378076,0.8461951209583104,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNG7,1,3,0.3333333333333333,0.1630210233769192,0.6732464316220399,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPR20,1,3,0.3333333333333333,0.3199760880892604,0.6696137260519551,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNAI2,1,3,0.3333333333333333,0.27065638005083514,0.7460912337895222,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GLP1R,1,3,0.3333333333333333,0.06689866975294607,0.9397927922887201,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADCY4,1,3,0.3333333333333333,0.17929745146726753,0.6549226995151628,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,TAAR6,1,3,0.3333333333333333,-0.005225476410844251,0.9956319023255328,down,3
